2024lpyrexmple,leapyearday,dowy_lp,w_lp,ww_lp,,2025nonlpexmple,regularyearday,dowy_reg,w_rg,ww_reg
3/29/2024,89,181,13,26,,3/30/2025,89,181,13,26
3/30/2024,90,182,13,26,,3/31/2025,90,182,13,26
3/31/2024,91,183,13,26,,4/1/2025,91,183,13,26
4/1/2024,92,184,14,27,,4/2/2025,92,184,14,27
4/2/2024,93,185,14,27,,4/3/2025,93,185,14,27
4/3/2024,94,186,14,27,,4/4/2025,94,186,14,27
4/4/2024,95,187,14,27,,4/5/2025,95,187,14,27
4/5/2024,96,188,14,27,,4/6/2025,96,188,14,27
4/6/2024,97,189,14,27,,4/7/2025,97,189,14,27
4/7/2024,98,190,14,27,,4/8/2025,98,190,14,27
4/8/2024,99,191,15,28,,4/9/2025,99,191,15,28
4/9/2024,100,192,15,28,,4/10/2025,100,192,15,28
4/10/2024,101,193,15,28,,4/11/2025,101,193,15,28
4/11/2024,102,194,15,28,,4/12/2025,102,194,15,28
4/12/2024,103,195,15,28,,4/13/2025,103,195,15,28
4/13/2024,104,196,15,28,,4/14/2025,104,196,15,28
4/14/2024,105,197,15,28,,4/15/2025,105,197,15,28
4/15/2024,106,198,16,29,,4/16/2025,106,198,16,29
4/16/2024,107,199,16,29,,4/17/2025,107,199,16,29
4/17/2024,108,200,16,29,,4/18/2025,108,200,16,29
4/18/2024,109,201,16,29,,4/19/2025,109,201,16,29
4/19/2024,110,202,16,29,,4/20/2025,110,202,16,29
4/20/2024,111,203,16,29,,4/21/2025,111,203,16,29
4/21/2024,112,204,16,29,,4/22/2025,112,204,16,29
4/22/2024,113,205,17,30,,4/23/2025,113,205,17,30
4/23/2024,114,206,17,30,,4/24/2025,114,206,17,30
4/24/2024,115,207,17,30,,4/25/2025,115,207,17,30
4/25/2024,116,208,17,30,,4/26/2025,116,208,17,30
4/26/2024,117,209,17,30,,4/27/2025,117,209,17,30
4/27/2024,118,210,17,30,,4/28/2025,118,210,17,30
4/28/2024,119,211,17,30,,4/29/2025,119,211,17,30
4/29/2024,120,212,18,31,,4/30/2025,120,212,18,31
4/30/2024,121,213,18,31,,5/1/2025,121,213,18,31
5/1/2024,122,214,18,31,,5/2/2025,122,214,18,31
5/2/2024,123,215,18,31,,5/3/2025,123,215,18,31
5/3/2024,124,216,18,31,,5/4/2025,124,216,18,31
5/4/2024,125,217,18,31,,5/5/2025,125,217,18,31
5/5/2024,126,218,18,31,,5/6/2025,126,218,18,31
5/6/2024,127,219,19,32,,5/7/2025,127,219,19,32
5/7/2024,128,220,19,32,,5/8/2025,128,220,19,32
5/8/2024,129,221,19,32,,5/9/2025,129,221,19,32
5/9/2024,130,222,19,32,,5/10/2025,130,222,19,32
5/10/2024,131,223,19,32,,5/11/2025,131,223,19,32
5/11/2024,132,224,19,32,,5/12/2025,132,224,19,32
5/12/2024,133,225,19,32,,5/13/2025,133,225,19,32
5/13/2024,134,226,20,33,,5/14/2025,134,226,20,33
5/14/2024,135,227,20,33,,5/15/2025,135,227,20,33
5/15/2024,136,228,20,33,,5/16/2025,136,228,20,33
5/16/2024,137,229,20,33,,5/17/2025,137,229,20,33
5/17/2024,138,230,20,33,,5/18/2025,138,230,20,33
5/18/2024,139,231,20,33,,5/19/2025,139,231,20,33
5/19/2024,140,232,20,33,,5/20/2025,140,232,20,33
5/20/2024,141,233,21,34,,5/21/2025,141,233,21,34
5/21/2024,142,234,21,34,,5/22/2025,142,234,21,34
5/22/2024,143,235,21,34,,5/23/2025,143,235,21,34
5/23/2024,144,236,21,34,,5/24/2025,144,236,21,34
5/24/2024,145,237,21,34,,5/25/2025,145,237,21,34
5/25/2024,146,238,21,34,,5/26/2025,146,238,21,34
5/26/2024,147,239,21,34,,5/27/2025,147,239,21,34
5/27/2024,148,240,22,35,,5/28/2025,148,240,22,35
5/28/2024,149,241,22,35,,5/29/2025,149,241,22,35
5/29/2024,150,242,22,35,,5/30/2025,150,242,22,35
5/30/2024,151,243,22,35,,5/31/2025,151,243,22,35
5/31/2024,152,244,22,35,,6/1/2025,152,244,22,35
6/1/2024,153,245,22,35,,6/2/2025,153,245,22,35
6/2/2024,154,246,22,35,,6/3/2025,154,246,22,35
6/3/2024,155,247,23,36,,6/4/2025,155,247,23,36
6/4/2024,156,248,23,36,,6/5/2025,156,248,23,36
6/5/2024,157,249,23,36,,6/6/2025,157,249,23,36
6/6/2024,158,250,23,36,,6/7/2025,158,250,23,36
6/7/2024,159,251,23,36,,6/8/2025,159,251,23,36
6/8/2024,160,252,23,36,,6/9/2025,160,252,23,36
6/9/2024,161,253,23,36,,6/10/2025,161,253,23,36
6/10/2024,162,254,24,37,,6/11/2025,162,254,24,37
6/11/2024,163,255,24,37,,6/12/2025,163,255,24,37
6/12/2024,164,256,24,37,,6/13/2025,164,256,24,37
6/13/2024,165,257,24,37,,6/14/2025,165,257,24,37
6/14/2024,166,258,24,37,,6/15/2025,166,258,24,37
6/15/2024,167,259,24,37,,6/16/2025,167,259,24,37
6/16/2024,168,260,24,37,,6/17/2025,168,260,24,37
6/17/2024,169,261,25,38,,6/18/2025,169,261,25,38
6/18/2024,170,262,25,38,,6/19/2025,170,262,25,38
6/19/2024,171,263,25,38,,6/20/2025,171,263,25,38
6/20/2024,172,264,25,38,,6/21/2025,172,264,25,38
6/21/2024,173,265,25,38,,6/22/2025,173,265,25,38
6/22/2024,174,266,25,38,,6/23/2025,174,266,25,38
6/23/2024,175,267,25,38,,6/24/2025,175,267,25,38
6/24/2024,176,268,26,39,,6/25/2025,176,268,26,39
6/25/2024,177,269,26,39,,6/26/2025,177,269,26,39
6/26/2024,178,270,26,39,,6/27/2025,178,270,26,39
6/27/2024,179,271,26,39,,6/28/2025,179,271,26,39
6/28/2024,180,272,26,39,,6/29/2025,180,272,26,39
6/29/2024,181,273,26,39,,6/30/2025,181,273,26,39
6/30/2024,182,274,26,39,,7/1/2025,182,274,26,39
7/1/2024,183,275,27,40,,7/2/2025,183,275,27,40
7/2/2024,184,276,27,40,,7/3/2025,184,276,27,40
7/3/2024,185,277,27,40,,7/4/2025,185,277,27,40
7/4/2024,186,278,27,40,,7/5/2025,186,278,27,40
7/5/2024,187,279,27,40,,7/6/2025,187,279,27,40
7/6/2024,188,280,27,40,,7/7/2025,188,280,27,40
7/7/2024,189,281,27,40,,7/8/2025,189,281,27,40
7/8/2024,190,282,28,41,,7/9/2025,190,282,28,41
7/9/2024,191,283,28,41,,7/10/2025,191,283,28,41
7/10/2024,192,284,28,41,,7/11/2025,192,284,28,41
7/11/2024,193,285,28,41,,7/12/2025,193,285,28,41
7/12/2024,194,286,28,41,,7/13/2025,194,286,28,41
7/13/2024,195,287,28,41,,7/14/2025,195,287,28,41
7/14/2024,196,288,28,41,,7/15/2025,196,288,28,41
7/15/2024,197,289,29,42,,7/16/2025,197,289,29,42
7/16/2024,198,290,29,42,,7/17/2025,198,290,29,42
7/17/2024,199,291,29,42,,7/18/2025,199,291,29,42
7/18/2024,200,292,29,42,,7/19/2025,200,292,29,42
7/19/2024,201,293,29,42,,7/20/2025,201,293,29,42
7/20/2024,202,294,29,42,,7/21/2025,202,294,29,42
7/21/2024,203,295,29,42,,7/22/2025,203,295,29,42
7/22/2024,204,296,30,43,,7/23/2025,204,296,30,43
7/23/2024,205,297,30,43,,7/24/2025,205,297,30,43
7/24/2024,206,298,30,43,,7/25/2025,206,298,30,43
7/25/2024,207,299,30,43,,7/26/2025,207,299,30,43
7/26/2024,208,300,30,43,,7/27/2025,208,300,30,43
7/27/2024,209,301,30,43,,7/28/2025,209,301,30,43
7/28/2024,210,302,30,43,,7/29/2025,210,302,30,43
7/29/2024,211,303,31,44,,7/30/2025,211,303,31,44
7/30/2024,212,304,31,44,,7/31/2025,212,304,31,44
7/31/2024,213,305,31,44,,8/1/2025,213,305,31,44
8/1/2024,214,306,31,44,,8/2/2025,214,306,31,44
8/2/2024,215,307,31,44,,8/3/2025,215,307,31,44
8/3/2024,216,308,31,44,,8/4/2025,216,308,31,44
8/4/2024,217,309,31,44,,8/5/2025,217,309,31,44
8/5/2024,218,310,32,45,,8/6/2025,218,310,32,45
8/6/2024,219,311,32,45,,8/7/2025,219,311,32,45
8/7/2024,220,312,32,45,,8/8/2025,220,312,32,45
8/8/2024,221,313,32,45,,8/9/2025,221,313,32,45
8/9/2024,222,314,32,45,,8/10/2025,222,314,32,45
8/10/2024,223,315,32,45,,8/11/2025,223,315,32,45
8/11/2024,224,316,32,45,,8/12/2025,224,316,32,45
8/12/2024,225,317,33,46,,8/13/2025,225,317,33,46
8/13/2024,226,318,33,46,,8/14/2025,226,318,33,46
8/14/2024,227,319,33,46,,8/15/2025,227,319,33,46
8/15/2024,228,320,33,46,,8/16/2025,228,320,33,46
8/16/2024,229,321,33,46,,8/17/2025,229,321,33,46
8/17/2024,230,322,33,46,,8/18/2025,230,322,33,46
8/18/2024,231,323,33,46,,8/19/2025,231,323,33,46
8/19/2024,232,324,34,47,,8/20/2025,232,324,34,47
8/20/2024,233,325,34,47,,8/21/2025,233,325,34,47
8/21/2024,234,326,34,47,,8/22/2025,234,326,34,47
8/22/2024,235,327,34,47,,8/23/2025,235,327,34,47
8/23/2024,236,328,34,47,,8/24/2025,236,328,34,47
8/24/2024,237,329,34,47,,8/25/2025,237,329,34,47
8/25/2024,238,330,34,47,,8/26/2025,238,330,34,47
8/26/2024,239,331,35,48,,8/27/2025,239,331,35,48
8/27/2024,240,332,35,48,,8/28/2025,240,332,35,48
8/28/2024,241,333,35,48,,8/29/2025,241,333,35,48
8/29/2024,242,334,35,48,,8/30/2025,242,334,35,48
8/30/2024,243,335,35,48,,8/31/2025,243,335,35,48
8/31/2024,244,336,35,48,,9/1/2025,244,336,35,48
9/1/2024,245,337,35,48,,9/2/2025,245,337,35,48
9/2/2024,246,338,36,49,,9/3/2025,246,338,36,49
9/3/2024,247,339,36,49,,9/4/2025,247,339,36,49
9/4/2024,248,340,36,49,,9/5/2025,248,340,36,49
9/5/2024,249,341,36,49,,9/6/2025,249,341,36,49
9/6/2024,250,342,36,49,,9/7/2025,250,342,36,49
9/7/2024,251,343,36,49,,9/8/2025,251,343,36,49
9/8/2024,252,344,36,49,,9/9/2025,252,344,36,49
9/9/2024,253,345,37,50,,9/10/2025,253,345,37,50
9/10/2024,254,346,37,50,,9/11/2025,254,346,37,50
9/11/2024,255,347,37,50,,9/12/2025,255,347,37,50
9/12/2024,256,348,37,50,,9/13/2025,256,348,37,50
9/13/2024,257,349,37,50,,9/14/2025,257,349,37,50
9/14/2024,258,350,37,50,,9/15/2025,258,350,37,50
9/15/2024,259,351,37,50,,9/16/2025,259,351,37,50
9/16/2024,260,352,38,51,,9/17/2025,260,352,38,51
9/17/2024,261,353,38,51,,9/18/2025,261,353,38,51
9/18/2024,262,354,38,51,,9/19/2025,262,354,38,51
9/19/2024,263,355,38,51,,9/20/2025,263,355,38,51
9/20/2024,264,356,38,51,,9/21/2025,264,356,38,51
9/21/2024,265,357,38,51,,9/22/2025,265,357,38,51
9/22/2024,266,358,38,51,,9/23/2025,266,358,38,51
9/23/2024,267,359,39,52,,9/24/2025,267,359,39,52
9/24/2024,268,360,39,52,,9/25/2025,268,360,39,52
9/25/2024,269,361,39,52,,9/26/2025,269,361,39,52
9/26/2024,270,362,39,52,,9/27/2025,270,362,39,52
9/27/2024,271,363,39,52,,9/28/2025,271,363,39,52
9/28/2024,272,364,39,52,,9/29/2025,272,364,39,52
9/29/2024,273,365,39,52,,9/30/2025,273,365,39,52
9/30/2024,274,366,39,52,,10/1/2025,274,1,40,1
10/1/2024,275,1,40,1,,10/2/2025,275,2,40,1
10/2/2024,276,2,40,1,,10/3/2025,276,3,40,1
10/3/2024,277,3,40,1,,10/4/2025,277,4,40,1
10/4/2024,278,4,40,1,,10/5/2025,278,5,40,1
10/5/2024,279,5,40,1,,10/6/2025,279,6,40,1
10/6/2024,280,6,40,1,,10/7/2025,280,7,40,1
10/7/2024,281,7,40,1,,10/8/2025,281,8,41,2
10/8/2024,282,8,41,2,,10/9/2025,282,9,41,2
10/9/2024,283,9,41,2,,10/10/2025,283,10,41,2
10/10/2024,284,10,41,2,,10/11/2025,284,11,41,2
10/11/2024,285,11,41,2,,10/12/2025,285,12,41,2
10/12/2024,286,12,41,2,,10/13/2025,286,13,41,2
10/13/2024,287,13,41,2,,10/14/2025,287,14,41,2
10/14/2024,288,14,41,2,,10/15/2025,288,15,42,3
10/15/2024,289,15,42,3,,10/16/2025,289,16,42,3
10/16/2024,290,16,42,3,,10/17/2025,290,17,42,3
10/17/2024,291,17,42,3,,10/18/2025,291,18,42,3
10/18/2024,292,18,42,3,,10/19/2025,292,19,42,3
10/19/2024,293,19,42,3,,10/20/2025,293,20,42,3
10/20/2024,294,20,42,3,,10/21/2025,294,21,42,3
10/21/2024,295,21,42,3,,10/22/2025,295,22,43,4
10/22/2024,296,22,43,4,,10/23/2025,296,23,43,4
10/23/2024,297,23,43,4,,10/24/2025,297,24,43,4
10/24/2024,298,24,43,4,,10/25/2025,298,25,43,4
10/25/2024,299,25,43,4,,10/26/2025,299,26,43,4
10/26/2024,300,26,43,4,,10/27/2025,300,27,43,4
10/27/2024,301,27,43,4,,10/28/2025,301,28,43,4
10/28/2024,302,28,43,4,,10/29/2025,302,29,44,5
10/29/2024,303,29,44,5,,10/30/2025,303,30,44,5
10/30/2024,304,30,44,5,,10/31/2025,304,31,44,5
10/31/2024,305,31,44,5,,11/1/2025,305,32,44,5
11/1/2024,306,32,44,5,,11/2/2025,306,33,44,5
11/2/2024,307,33,44,5,,11/3/2025,307,34,44,5
11/3/2024,308,34,44,5,,11/4/2025,308,35,44,5
11/4/2024,309,35,44,5,,11/5/2025,309,36,45,6
11/5/2024,310,36,45,6,,11/6/2025,310,37,45,6
11/6/2024,311,37,45,6,,11/7/2025,311,38,45,6
11/7/2024,312,38,45,6,,11/8/2025,312,39,45,6
11/8/2024,313,39,45,6,,11/9/2025,313,40,45,6
11/9/2024,314,40,45,6,,11/10/2025,314,41,45,6
11/10/2024,315,41,45,6,,11/11/2025,315,42,45,6
11/11/2024,316,42,45,6,,11/12/2025,316,43,46,7
11/12/2024,317,43,46,7,,11/13/2025,317,44,46,7
11/13/2024,318,44,46,7,,11/14/2025,318,45,46,7
11/14/2024,319,45,46,7,,11/15/2025,319,46,46,7
11/15/2024,320,46,46,7,,11/16/2025,320,47,46,7
11/16/2024,321,47,46,7,,11/17/2025,321,48,46,7
11/17/2024,322,48,46,7,,11/18/2025,322,49,46,7
11/18/2024,323,49,46,7,,11/19/2025,323,50,47,8
11/19/2024,324,50,47,8,,11/20/2025,324,51,47,8
11/20/2024,325,51,47,8,,11/21/2025,325,52,47,8
11/21/2024,326,52,47,8,,11/22/2025,326,53,47,8
11/22/2024,327,53,47,8,,11/23/2025,327,54,47,8
11/23/2024,328,54,47,8,,11/24/2025,328,55,47,8
11/24/2024,329,55,47,8,,11/25/2025,329,56,47,8
11/25/2024,330,56,47,8,,11/26/2025,330,57,48,9
11/26/2024,331,57,48,9,,11/27/2025,331,58,48,9
11/27/2024,332,58,48,9,,11/28/2025,332,59,48,9
11/28/2024,333,59,48,9,,11/29/2025,333,60,48,9
11/29/2024,334,60,48,9,,11/30/2025,334,61,48,9
11/30/2024,335,61,48,9,,12/1/2025,335,62,48,9
12/1/2024,336,62,48,9,,12/2/2025,336,63,48,9
12/2/2024,337,63,48,9,,12/3/2025,337,64,49,10
12/3/2024,338,64,49,10,,12/4/2025,338,65,49,10
12/4/2024,339,65,49,10,,12/5/2025,339,66,49,10
12/5/2024,340,66,49,10,,12/6/2025,340,67,49,10
12/6/2024,341,67,49,10,,12/7/2025,341,68,49,10
12/7/2024,342,68,49,10,,12/8/2025,342,69,49,10
12/8/2024,343,69,49,10,,12/9/2025,343,70,49,10
12/9/2024,344,70,49,10,,12/10/2025,344,71,50,11
12/10/2024,345,71,50,11,,12/11/2025,345,72,50,11
12/11/2024,346,72,50,11,,12/12/2025,346,73,50,11
12/12/2024,347,73,50,11,,12/13/2025,347,74,50,11
12/13/2024,348,74,50,11,,12/14/2025,348,75,50,11
12/14/2024,349,75,50,11,,12/15/2025,349,76,50,11
12/15/2024,350,76,50,11,,12/16/2025,350,77,50,11
12/16/2024,351,77,50,11,,12/17/2025,351,78,51,12
12/17/2024,352,78,51,12,,12/18/2025,352,79,51,12
12/18/2024,353,79,51,12,,12/19/2025,353,80,51,12
12/19/2024,354,80,51,12,,12/20/2025,354,81,51,12
12/20/2024,355,81,51,12,,12/21/2025,355,82,51,12
12/21/2024,356,82,51,12,,12/22/2025,356,83,51,12
12/22/2024,357,83,51,12,,12/23/2025,357,84,51,12
12/23/2024,358,84,51,12,,12/24/2025,358,85,52,13
12/24/2024,359,85,52,13,,12/25/2025,359,86,52,13
12/25/2024,360,86,52,13,,12/26/2025,360,87,52,13
12/26/2024,361,87,52,13,,12/27/2025,361,88,52,13
12/27/2024,362,88,52,13,,12/28/2025,362,89,52,13
12/28/2024,363,89,52,13,,12/29/2025,363,90,52,13
12/29/2024,364,90,52,13,,12/30/2025,364,91,52,13
12/30/2024,365,91,52,13,,12/31/2025,365,92,53,14
12/31/2024,366,92,53,14,,,,,,
